gene	BF.misA	BF.misB	BF.pLoF	BF.total	qval	pval	oe_lof_upper	oe_lof_upper_bin	dn.misA	dn.misB	dn.pLoF	case.pLoF	ctrl.pLoF
ODF3L2	0.915241	0.978641	0.382114	0.342256	0.954927	0.217782	1.369	7	0	0	0	0	1
KISS1R	0.932416	0.983079	0.373322	0.342201	0.954936	0.217869	0.648	3	0	0	0	0	1
MRPL47	0.952783	0.988268	0.363397	0.342177	0.954944	0.217951	0.892	4	0	0	0	0	1
ZAR1	0.945029	0.986302	0.367075	0.342145	0.954953	0.217994	1.297	7	0	0	0	0	1
CHCHD6	0.939767	0.984961	0.369623	0.342136	0.954962	0.218037	1.519	8	0	0	0	0	1
BDP1	0.62824	0.893702	0.609351	0.342126	0.95497	0.218044	0.596	3	0	0	0	3	3
TSSC4	0.910677	0.977451	0.384287	0.34207	0.954979	0.218104	1.72	8	0	0	0	0	1
FBXL8	0.925109	0.981198	0.376842	0.342065	0.954988	0.218145	1.914	9	0	0	0	0	1
RGL4	0.891788	0.972482	0.394424	0.342063	0.954996	0.21817	1.308	7	0	0	0	1	2
SULT1C3	0.943677	0.985958	0.367638	0.342059	0.955005	0.218213	1.926	9	0	0	0	0	1
SERINC4	0.895467	0.973456	0.392333	0.341996	0.955014	0.218233	1.434	7	0	0	0	1	2
PSME1	0.944198	0.98609	0.367248	0.341932	0.955023	0.218299	0.646	3	0	0	0	0	1
TMEM45B	0.935665	0.983912	0.371317	0.341839	0.955031	0.218342	1.814	9	0	0	0	0	1
CLPP	0.932088	0.982995	0.373076	0.341826	0.95504	0.218383	0.565	2	0	0	0	0	1
RNF180	0.899627	0.974553	0.389815	0.341764	0.955049	0.218444	0.837	4	0	0	0	1	2
KTI12	0.923138	0.980689	0.377506	0.34176	0.955057	0.218489	1.424	7	0	0	0	0	1
SLCO1B7	0.894151	0.973108	0.392705	0.341695	0.955066	0.21855	1.742	8	0	0	0	1	2
ETV2	0.936387	0.984097	0.370782	0.341674	0.955075	0.218618	1.418	7	0	0	0	0	1
NUDT18	0.929815	0.982411	0.374037	0.341668	0.955083	0.218661	1.619	8	0	0	0	0	1
ZFC3H1	0.697525	0.916411	0.534418	0.34161	0.955092	0.218704	0.157	0	0	0	0	1	1
LRRC71	0.897962	0.974115	0.390521	0.341596	0.9551	0.218769	0.779	4	0	0	0	1	2
AZGP1	0.927933	0.981926	0.374865	0.341562	0.955109	0.218919	1.475	7	0	0	0	0	1
C9orf24	0.946932	0.986785	0.365521	0.34155	0.955118	0.218963	1.137	6	0	0	0	0	1
A4GNT	0.927085	0.981708	0.37526	0.341534	0.955126	0.219004	0.739	3	0	0	0	0	1
TMEM169	0.931098	0.982741	0.373204	0.341492	0.955135	0.219083	0.888	4	0	0	0	0	1
EMCN	0.955225	0.988885	0.361511	0.341485	0.955144	0.219123	0.958	5	0	0	0	0	1
KCNK1	0.92772	0.981871	0.374834	0.341437	0.955152	0.219206	0.905	4	0	0	0	0	1
ZFAND1	0.955011	0.988831	0.361483	0.341365	0.955161	0.219288	1.265	7	0	0	0	0	1
SCPEP1	0.908288	0.976827	0.384733	0.34135	0.955169	0.219308	1.149	6	0	0	0	1	2
GPR15	0.927661	0.981856	0.374751	0.341334	0.955178	0.219352	1.707	8	0	0	0	0	1
MRPL22	0.950539	0.9877	0.36356	0.341328	0.955187	0.219391	1.196	6	0	0	0	0	1
XRCC2	0.945821	0.986503	0.365746	0.341262	0.955195	0.219475	1.37	7	0	0	0	0	1
SULT1E1	0.946333	0.986633	0.365465	0.341229	0.955204	0.219519	1.27	7	0	0	0	0	1
UROS	0.947571	0.986948	0.364861	0.341219	0.955212	0.219563	0.726	3	0	0	0	0	1
CD200	0.938924	0.984746	0.368997	0.341175	0.955221	0.219648	0.56	2	0	0	0	0	1
GPR85	0.928327	0.982028	0.374197	0.341134	0.95523	0.219689	0.513	2	0	0	0	0	1
C7orf57	0.940209	0.985074	0.368277	0.341089	0.955238	0.219777	1.576	8	0	0	0	0	1
ZSCAN16	0.932825	0.983184	0.371896	0.34108	0.955247	0.219815	1.459	7	0	0	0	0	1
RSPO4	0.927427	0.981796	0.374524	0.34102	0.955255	0.219941	1.593	8	0	0	0	0	1
F2RL2	0.927169	0.981729	0.374591	0.340963	0.955264	0.219984	1.487	8	0	0	0	0	1
OR2B11	0.920894	0.980108	0.377736	0.340935	0.955273	0.220068	1.585	8	0	0	0	0	1
NAT16	0.92998	0.982453	0.373099	0.340886	0.955281	0.220223	1.496	8	0	0	0	0	1
LRRC52	0.9265	0.981557	0.374799	0.340847	0.95529	0.220305	1.662	8	0	0	0	0	1
SUCNR1	0.934465	0.983605	0.370766	0.340787	0.955298	0.220455	1.247	6	0	0	0	0	1
ENKD1	0.90528	0.976039	0.385553	0.340671	0.955307	0.220589	1.339	7	0	0	0	0	1
AQP9	0.938157	0.98455	0.368704	0.340558	0.955315	0.220644	0.661	3	0	0	0	0	1
NUP210L	0.681379	0.911269	0.548452	0.340545	0.955324	0.220665	0.381	1	0	0	0	1	1
PAFAH1B3	0.935233	0.983802	0.370102	0.340525	0.955332	0.22071	0.975	5	0	0	0	0	1
BTBD19	0.916872	0.979064	0.379253	0.340446	0.955341	0.220796	0.666	3	0	0	0	0	1
ASPA	0.93356	0.983373	0.370788	0.340397	0.95535	0.220841	1.099	6	0	0	0	0	1
RBKS	0.940384	0.985119	0.36731	0.340273	0.955358	0.220986	1.529	8	0	0	0	0	1
CCDC15	0.860041	0.96396	0.410417	0.340255	0.955367	0.221023	1.057	5	0	0	0	2	3
GALR2	0.924422	0.98102	0.37516	0.340224	0.955375	0.221149	1.687	8	0	0	0	0	1
SUOX	0.870463	0.966782	0.404282	0.340222	0.955384	0.221171	1.079	6	0	0	0	1	2
BCCIP	0.939921	0.985	0.367454	0.340197	0.955392	0.221214	0.784	4	0	0	0	0	1
LMX1B	0.881223	0.969671	0.398051	0.340133	0.955401	0.221232	0.415	1	0	0	0	1	2
RHBDL2	0.942761	0.985725	0.365958	0.340086	0.955409	0.221315	1.369	7	0	0	0	0	1
ZCCHC9	0.943101	0.985811	0.365728	0.340024	0.955418	0.221442	0.917	5	0	0	0	0	1
PNLIP	0.905036	0.975975	0.38487	0.339953	0.955426	0.221484	0.989	5	0	0	0	1	2
AGTR1	0.927162	0.981727	0.373433	0.339906	0.955435	0.221574	1.347	7	0	0	0	0	1
KCNK6	0.918077	0.979378	0.377995	0.339872	0.955443	0.221619	1.339	7	0	0	0	0	1
DUS4L	0.94013	0.985054	0.366995	0.339867	0.955452	0.221666	1.114	6	0	0	0	0	1
GFAP	0.878099	0.968835	0.399442	0.339818	0.95546	0.221707	1.026	5	0	0	0	1	2
IKBIP	0.940151	0.985059	0.366851	0.339742	0.955469	0.221833	1.389	7	0	0	0	0	1
FAM43A	0.927461	0.981805	0.373062	0.339705	0.955477	0.221875	0.669	3	0	0	0	0	1
FNDC8	0.924783	0.981114	0.37426	0.339573	0.955486	0.22196	1.294	7	0	0	0	0	1
SNX16	0.945364	0.986387	0.364101	0.339522	0.955494	0.222044	1.624	8	0	0	0	0	1
ELOVL7	0.9423	0.985607	0.365573	0.339522	0.955503	0.222089	0.75	4	0	0	0	0	1
CA13	0.944499	0.986167	0.364484	0.339493	0.955511	0.222222	1.163	6	0	0	0	0	1
CENPP	0.943954	0.986028	0.364709	0.339459	0.955519	0.222308	0.677	3	0	0	0	0	1
MEIOB	0.92259	0.980547	0.375068	0.339303	0.955528	0.222495	1.417	7	0	0	0	0	1
NXPE2	0.90839	0.976853	0.382346	0.33928	0.955536	0.22254	1.268	7	0	0	0	0	1
LRRC73	0.930155	0.982498	0.371114	0.339152	0.955545	0.222669	0.81	4	0	0	0	0	1
ARRDC5	0.911142	0.977572	0.380745	0.339132	0.955553	0.222711	1.454	7	0	0	0	0	1
MORN3	0.931394	0.982817	0.37046	0.339116	0.955562	0.2228	1.301	7	0	0	0	0	1
PNPO	0.93639	0.984098	0.367977	0.339091	0.95557	0.222841	1.436	7	0	0	0	0	1
CCDC178	0.871096	0.966953	0.402546	0.339068	0.955579	0.222865	1.118	6	0	0	0	1	2
DGUOK	0.944051	0.986053	0.364115	0.338949	0.955587	0.22308	1.192	6	0	0	0	0	1
NDUFS8	0.922528	0.980531	0.374699	0.338941	0.955596	0.223124	0.738	3	0	0	0	0	1
LIN37	0.923519	0.980787	0.374189	0.338931	0.955604	0.223165	0.81	4	0	0	0	0	1
KCNK17	0.9252	0.981221	0.373309	0.338899	0.955612	0.223206	1.474	7	0	0	0	0	1
MMP7	0.941466	0.985395	0.36529	0.338885	0.955621	0.223267	1.523	8	0	0	0	0	1
SPATS1	0.937959	0.984499	0.366958	0.338856	0.955629	0.223388	1.256	7	0	0	0	0	1
GPR183	0.922389	0.980495	0.374607	0.338794	0.955638	0.223524	1.061	5	0	0	0	0	1
C11orf65	0.945248	0.986358	0.363366	0.338785	0.955646	0.223563	1.75	8	0	0	0	0	1
ZNF396	0.939267	0.984833	0.366201	0.338744	0.955654	0.223612	1.118	6	0	0	0	0	1
SNRNP27	0.947993	0.987055	0.361998	0.338729	0.955663	0.223651	1.012	5	0	0	0	0	1
SERTAD2	0.914781	0.978521	0.378396	0.338714	0.955671	0.223715	0.432	2	0	0	0	0	1
ZFYVE21	0.927796	0.981891	0.371773	0.338683	0.95568	0.223797	0.594	3	0	0	0	0	1
TMEM192	0.947807	0.987008	0.362025	0.338672	0.955688	0.223838	1.287	7	0	0	0	0	1
UNC50	0.946489	0.986673	0.36262	0.338642	0.955696	0.22388	1.012	5	0	0	0	0	1
MTAP	0.935301	0.983819	0.368007	0.338628	0.955705	0.22392	1.39	7	0	0	0	0	1
SCO1	0.938091	0.984533	0.366621	0.338604	0.955713	0.223963	0.991	5	0	0	0	0	1
OR51E2	0.918988	0.979614	0.376091	0.338577	0.955722	0.224007	1.681	8	0	0	0	0	1
PREX1	0.624275	0.892349	0.607738	0.338553	0.95573	0.22407	0.091	0	0	0	0	1	1
SLC28A1	0.845257	0.959915	0.417144	0.33846	0.955738	0.224154	1.252	7	0	0	0	2	3
TREML1	0.93432	0.983568	0.3682	0.338363	0.955747	0.224344	1.837	9	0	0	0	0	1
DBX1	0.927836	0.981901	0.371356	0.338322	0.955755	0.224385	0.768	4	0	0	0	0	1
EVA1C	0.908861	0.976977	0.381016	0.338318	0.955763	0.224428	0.745	3	0	0	0	0	1
ASRGL1	0.92488	0.981139	0.372795	0.338288	0.955772	0.224556	1.391	7	0	0	0	0	1
LRRC58	0.936551	0.984139	0.366827	0.338103	0.95578	0.224688	0.903	4	0	0	0	0	1
GDF1	0.912682	0.977974	0.378779	0.33809	0.955788	0.224731	0.917	5	0	0	0	0	1
CA7	0.926598	0.981582	0.371594	0.337977	0.955797	0.224829	0.675	3	0	0	0	0	1
PSMB11	0.907314	0.976572	0.381433	0.337971	0.955805	0.224872	1.83	9	0	0	0	0	1
LDHC	0.935887	0.983969	0.36699	0.337955	0.955814	0.224916	1.329	7	0	0	0	0	1
CLDN23	0.908861	0.976977	0.380562	0.337914	0.955822	0.224957	1.746	8	0	0	0	0	1
SLC16A5	0.860363	0.964048	0.407392	0.337904	0.95583	0.224981	1.522	8	0	0	0	1	2
PUSL1	0.928275	0.982014	0.37065	0.337877	0.955839	0.22502	1.977	9	0	0	0	0	1
KNDC1	0.592399	0.881242	0.647169	0.337853	0.955847	0.225043	0.398	1	0	0	0	1	1
PEX19	0.938889	0.984737	0.365418	0.337851	0.955855	0.225083	0.935	5	0	0	0	0	1
TNFRSF13B	0.92545	0.981286	0.371973	0.3378	0.955863	0.225206	1.958	9	0	0	0	0	1
MC3R	0.907729	0.976681	0.381017	0.337795	0.955872	0.22525	1.931	9	0	0	0	0	1
ADRB3	0.922868	0.980619	0.373235	0.337771	0.95588	0.225338	1.683	8	0	0	0	0	1
SDCBP2	0.931649	0.982882	0.368843	0.33775	0.955888	0.225379	1.382	7	0	0	0	0	1
ZNF524	0.90252	0.975315	0.38367	0.337722	0.955897	0.225424	1.401	7	0	0	0	0	1
AQP8	0.927218	0.981742	0.370963	0.337683	0.955905	0.225494	1.123	6	0	0	0	0	1
UCP1	0.932223	0.98303	0.368459	0.337657	0.955913	0.225582	1.788	9	0	0	0	0	1
FAS	0.941334	0.985361	0.36399	0.33762	0.955922	0.225625	0.441	2	0	0	0	0	1
SULT1B1	0.944121	0.986071	0.362591	0.337561	0.95593	0.225711	1.311	7	0	0	0	0	1
ZNF766	0.918836	0.979574	0.375009	0.337533	0.955938	0.225754	1.868	9	0	0	0	0	1
CEACAM19	0.937626	0.984414	0.365652	0.337501	0.955946	0.225865	1.576	8	0	0	0	0	1
CLEC4G	0.936713	0.98418	0.366019	0.337431	0.955955	0.226014	1.109	6	0	0	0	0	1
EXOSC8	0.948444	0.987169	0.360326	0.337364	0.955963	0.226124	1.685	8	0	0	0	0	1
FBXO8	0.937289	0.984328	0.36545	0.337164	0.955971	0.226334	0.53	2	0	0	0	0	1
STOM	0.933152	0.983268	0.367465	0.337163	0.95598	0.226379	1.141	6	0	0	0	0	1
HOXA1	0.924269	0.980981	0.371804	0.337111	0.955988	0.226493	0.628	3	0	0	0	0	1
CCDC127	0.932585	0.983123	0.367628	0.337058	0.955996	0.226534	1.071	5	0	0	0	0	1
BPHL	0.935524	0.983876	0.366103	0.336976	0.956004	0.226687	1.349	7	0	0	0	0	1
GLYATL1	0.928002	0.981944	0.369777	0.336958	0.956013	0.226763	0.917	5	0	0	0	0	1
PLSCR1	0.943316	0.985866	0.362241	0.336878	0.956021	0.226808	0.73	3	0	0	0	0	1
SLC35A3	0.945679	0.986467	0.36109	0.336855	0.956029	0.22685	0.795	4	0	0	0	0	1
TEPP	0.933614	0.983387	0.366847	0.336803	0.956037	0.226942	0.985	5	0	0	0	0	1
WDR89	0.931017	0.98272	0.368104	0.336789	0.956046	0.226983	1.189	6	0	0	0	0	1
UNG	0.936552	0.984139	0.365399	0.336787	0.956054	0.227022	0.85	4	0	0	0	0	1
RASGEF1C	0.88148	0.96974	0.393981	0.336778	0.956062	0.227045	0.823	4	0	0	0	1	2
CA3	0.937505	0.984383	0.364882	0.336736	0.95607	0.227089	0.85	4	0	0	0	0	1
RNF133	0.926904	0.981661	0.370057	0.336717	0.956079	0.227134	0.866	4	0	0	0	0	1
PTX3	0.933741	0.983419	0.366598	0.336632	0.956087	0.227174	1.202	6	0	0	0	0	1
FGFR3	0.747664	3.95005	0.113985	0.336632	0.956095	0.227177	0.604	3	0	1	0	0	0
C6orf58	0.944324	0.986123	0.361488	0.336625	0.956103	0.227218	1.314	7	0	0	0	0	1
CRX	0.919084	0.979639	0.373855	0.336608	0.956111	0.227302	0.6	3	0	0	0	0	1
ZSCAN4	0.921399	0.980239	0.372682	0.336603	0.95612	0.227384	1.619	8	0	0	0	0	1
KLK14	0.926598	0.981582	0.37008	0.3366	0.956128	0.227427	1.567	8	0	0	0	0	1
OR9Q2	0.920065	0.979893	0.373316	0.336569	0.956136	0.227469	1.89	9	0	0	0	0	1
ENOSF1	0.902994	0.975439	0.382089	0.33655	0.956144	0.227492	1.348	7	0	0	0	1	2
SNRPA	0.919057	0.979632	0.373798	0.336544	0.956152	0.227532	1.388	7	0	0	0	0	1
PABPN1L	0.92952	0.982335	0.368537	0.336511	0.956161	0.227573	1.872	9	0	0	0	0	1
PRSS27	0.923401	0.980757	0.371551	0.336489	0.956169	0.227616	1.175	6	0	0	0	0	1
OVOL1	0.922784	0.980597	0.371831	0.336463	0.956177	0.227703	0.422	2	0	0	0	0	1
PSMA8	0.947174	0.986847	0.359957	0.336457	0.956185	0.227746	1.026	5	0	0	0	0	1
STX6	0.942508	0.98566	0.36216	0.336444	0.956193	0.227786	0.749	4	0	0	0	0	1
HS3ST5	0.919899	0.97985	0.373205	0.336393	0.956201	0.227865	0.738	3	0	0	0	0	1
BTRC	0.873683	0.967649	0.397869	0.336366	0.95621	0.227882	0.456	2	0	0	0	2	3
VTI1A	0.945964	0.986539	0.360383	0.33632	0.956218	0.227926	0.86	4	0	0	0	0	1
SERPINB5	0.932261	0.983039	0.366966	0.336306	0.956226	0.227965	0.903	4	0	0	0	0	1
TRADD	0.922299	0.980472	0.371898	0.336303	0.956234	0.228008	0.687	3	0	0	0	0	1
TMEM106C	0.945992	0.986547	0.360339	0.336292	0.956242	0.228048	1.399	7	0	0	0	0	1
ART5	0.927043	0.981697	0.369479	0.336254	0.95625	0.228141	1.077	6	0	0	0	0	1
SRSF12	0.93214	0.983008	0.366902	0.336192	0.956259	0.228182	0.72	3	0	0	0	0	1
NEIL2	0.9275	0.981815	0.36911	0.336124	0.956267	0.228264	1.736	8	0	0	0	0	1
PHF11	0.944813	0.986247	0.360703	0.33611	0.956275	0.228393	1.278	7	0	0	0	0	1
RNF217	0.946263	0.986616	0.359988	0.336084	0.956283	0.228434	0.998	5	0	0	0	0	1
ZNF407	0.585732	0.878867	0.65285	0.336074	0.956291	0.228455	0.092	0	0	0	0	1	1
INO80B	0.932181	0.983019	0.366651	0.335982	0.956299	0.228579	0.469	2	0	0	0	0	1
TRIB1	0.92742	0.981794	0.36891	0.335905	0.956307	0.228624	0.462	2	0	0	0	0	1
ERI1	0.940445	0.985134	0.362527	0.335869	0.956316	0.228667	1.073	5	0	0	0	0	1
SLC35G2	0.925346	0.981259	0.369897	0.335868	0.956324	0.228712	0.851	4	0	0	0	0	1
OMG	0.926869	0.981652	0.369006	0.335745	0.956332	0.228885	0.273	1	0	0	0	0	1
AIMP2	0.917546	0.97924	0.373519	0.335606	0.95634	0.229137	0.967	5	0	0	0	0	1
AIMP1	0.937681	0.984428	0.36355	0.335586	0.956348	0.229178	1.216	6	0	0	0	0	1
POU1F1	0.941203	0.985328	0.361814	0.335544	0.956356	0.229305	0.681	3	0	0	0	0	1
CNN3	0.934756	0.983679	0.364917	0.335542	0.956364	0.229349	0.489	2	0	0	0	0	1
C16orf78	0.93745	0.984369	0.363611	0.335539	0.956372	0.229394	1.177	6	0	0	0	0	1
NOXRED1	0.927721	0.981872	0.368302	0.335488	0.95638	0.229458	0.761	4	0	0	0	0	1
MAMSTR	0.928773	0.982142	0.367739	0.335447	0.956389	0.229499	0.836	4	0	0	0	0	1
TRMT44	0.844713	0.959765	0.413759	0.335446	0.956397	0.229523	1.356	7	0	0	0	1	2
KCNK18	0.920839	0.980094	0.371437	0.335225	0.956405	0.229709	1.105	6	0	0	0	0	1
FAM83F	0.864883	0.965274	0.401503	0.335194	0.956413	0.229732	1.434	7	0	0	0	1	2
TRIM44	0.931373	0.982811	0.366171	0.33518	0.956421	0.229816	0.659	3	0	0	0	0	1
EVI2B	0.924984	0.981166	0.369223	0.335093	0.956429	0.2299	0.761	4	0	0	0	0	1
ARL6IP4	0.935635	0.983904	0.363919	0.335015	0.956437	0.230062	0.95	5	0	0	0	0	1
ELMOD2	0.949177	0.987355	0.357332	0.334883	0.956445	0.230189	0.5	2	0	0	0	0	1
CSNK1A1L	0.92003	0.979884	0.371452	0.334872	0.956453	0.230232	1.146	6	0	0	0	0	1
HDAC10	0.840688	0.958654	0.415442	0.334817	0.956461	0.230254	1.508	8	0	0	0	2	3
ACOT4	0.925777	0.98137	0.368427	0.334727	0.956469	0.230416	1.655	8	0	0	0	0	1
CCDC149	0.893689	0.972986	0.384932	0.334716	0.956477	0.230437	0.765	4	0	0	0	1	2
PRSS33	0.920182	0.979924	0.371116	0.334638	0.956485	0.230547	1.439	7	0	0	0	0	1
FAM189A1	0.888624	0.971643	0.387543	0.334614	0.956494	0.230629	0.698	3	0	0	0	0	1
ASPDH	0.925714	0.981354	0.368296	0.33458	0.956502	0.230712	1.409	7	0	0	0	0	1
STX17	0.944006	0.986042	0.359398	0.334538	0.95651	0.230755	0.945	5	0	0	0	0	1
IFNLR1	0.882412	0.969988	0.390842	0.334533	0.956518	0.230835	0.763	4	0	0	0	0	1
KCNK15	0.902229	0.975238	0.380155	0.334494	0.956526	0.230877	1.248	6	0	0	0	0	1
LARP7	0.904235	0.975765	0.379033	0.334428	0.956534	0.23097	0.842	4	0	0	0	1	2
EPYC	0.93921	0.984819	0.361556	0.334422	0.956542	0.231012	1.317	7	0	0	0	0	1
KCNAB2	0.880418	0.969455	0.391802	0.334413	0.95655	0.231034	0.385	1	0	0	0	1	2
SPINT2	0.930256	0.982524	0.365807	0.334347	0.956558	0.231099	0.983	5	0	0	0	0	1
NADK2	0.922473	0.980517	0.369632	0.334332	0.956566	0.231137	0.52	2	0	0	0	0	1
IMPA1	0.940382	0.985118	0.360872	0.334307	0.956574	0.231179	0.877	4	0	0	0	0	1
MRPS2	0.907654	0.976661	0.376987	0.334188	0.956582	0.231299	1.862	9	0	0	0	0	1
ZSCAN32	0.897201	0.973914	0.382439	0.334174	0.95659	0.23134	1.567	8	0	0	0	0	1
B3GNT5	0.921455	0.980253	0.36996	0.334169	0.956598	0.231384	0.485	2	0	0	0	0	1
IFIT1B	0.911087	0.977558	0.375189	0.334159	0.956606	0.231428	1.908	9	0	0	0	0	1
AP1AR	0.947356	0.986893	0.357396	0.334143	0.956614	0.231468	0.559	2	0	0	0	0	1
FFAR1	0.900532	0.974792	0.380614	0.334115	0.956622	0.231555	1.658	8	0	0	0	0	1
TRMT13	0.91805	0.97937	0.371594	0.334104	0.95663	0.23164	0.928	5	0	0	0	0	1
RNF135	0.920887	0.980106	0.370152	0.334088	0.956638	0.231723	1.438	7	0	0	0	0	1
SPON2	0.923464	0.980773	0.368859	0.334079	0.956646	0.231763	1.893	9	0	0	0	0	1
RHBDD2	0.909127	0.977046	0.376077	0.334054	0.956654	0.231848	0.529	2	0	0	0	0	1
CCR2	0.920044	0.979888	0.370523	0.334041	0.956662	0.231892	0.976	5	0	0	0	0	1
DPH1	0.887732	0.971406	0.387323	0.334007	0.95667	0.231916	1.372	7	0	0	0	1	2
F2RL1	0.927742	0.981877	0.366646	0.333988	0.956678	0.231957	1.327	7	0	0	0	0	1
SLC35B1	0.939691	0.984942	0.360847	0.333979	0.956686	0.232041	1.019	5	0	0	0	0	1
GPATCH4	0.926111	0.981456	0.36739	0.333934	0.956694	0.232081	1.243	6	0	0	0	0	1
ZBBX	0.874285	0.967811	0.394591	0.33388	0.956702	0.232101	1.055	5	0	0	0	2	3
PLEKHB2	0.934802	0.983691	0.362868	0.333678	0.95671	0.232202	1.463	7	0	0	0	0	1
OSGEPL1	0.928809	0.982152	0.365694	0.333598	0.956718	0.232411	0.995	5	0	0	0	0	1
NPL	0.935967	0.98399	0.362112	0.333499	0.956726	0.232496	1.137	6	0	0	0	0	1
SNAI3	0.906279	0.976301	0.376895	0.333478	0.956734	0.232538	1.144	6	0	0	0	0	1
HSD3B2	0.92032	0.979959	0.369639	0.333369	0.956741	0.232683	1.619	8	0	0	0	0	1
WDR61	0.938814	0.984718	0.360492	0.333263	0.956749	0.232771	0.724	3	0	0	0	0	1
PBLD	0.937297	0.98433	0.361184	0.333232	0.956757	0.232815	1.57	8	0	0	0	0	1
ZNF714	0.910725	0.977464	0.374296	0.333198	0.956765	0.232881	1.756	8	0	0	0	0	1
FADS6	0.910096	0.977299	0.374558	0.333145	0.956773	0.232969	1.715	8	0	0	0	0	1
ACSS1	0.829865	0.955649	0.420005	0.333088	0.956781	0.233025	0.759	4	0	0	0	2	3
TRIM68	0.886396	0.97105	0.386913	0.33303	0.956789	0.233049	1.448	7	0	0	0	1	2
R3HDM4	0.919326	0.979701	0.369708	0.332983	0.956797	0.233134	1.075	6	0	0	0	0	1
NIPAL1	0.932986	0.983225	0.362896	0.332897	0.956805	0.2332	1.499	8	0	0	0	0	1
NIPA2	0.92666	0.981598	0.365975	0.332894	0.956813	0.233244	0.379	1	0	0	0	0	1
RRH	0.931974	0.982966	0.363359	0.332872	0.956821	0.233284	1.445	7	0	0	0	0	1
WNT8B	0.929197	0.982252	0.364571	0.332746	0.956829	0.233471	0.74	3	0	0	0	0	1
TEKT2	0.877185	0.96859	0.391631	0.332743	0.956837	0.233492	1.255	7	0	0	0	1	2
ELOVL2	0.935332	0.983827	0.36158	0.332728	0.956845	0.233535	1.374	7	0	0	0	0	1
RILP	0.925951	0.981415	0.366117	0.332705	0.956852	0.233578	1.691	8	0	0	0	0	1
IFIT3	0.910971	0.977528	0.373579	0.332672	0.95686	0.23362	1.184	6	0	0	0	0	1
ATP4B	0.92232	0.980477	0.367857	0.332658	0.956868	0.233665	1.052	5	0	0	0	0	1
PIM3	0.920383	0.979975	0.368729	0.332576	0.956876	0.233707	0.244	0	0	0	0	0	1
MTHFD2L	0.935082	0.983763	0.361509	0.332552	0.956884	0.233748	1.155	6	0	0	0	0	1
PHYH	0.918518	0.979492	0.369536	0.332464	0.956892	0.23387	1.122	6	0	0	0	0	1
LIX1	0.940777	0.985219	0.35869	0.33246	0.9569	0.233911	0.832	4	0	0	0	0	1
CFHR5	0.893314	0.972887	0.38243	0.332367	0.956908	0.233936	1.829	9	0	0	0	1	2
CA6	0.927902	0.981918	0.364775	0.332356	0.956916	0.233978	0.917	5	0	0	0	0	1
POMC	0.902859	0.975404	0.377394	0.332353	0.956923	0.23402	1.384	7	0	0	0	0	1
SLC35F2	0.934566	0.983631	0.361475	0.332292	0.956931	0.234085	0.965	5	0	0	0	0	1
ZNF222	0.915248	0.978642	0.370961	0.33227	0.956939	0.234125	1.746	8	0	0	0	0	1
PHYHIPL	0.927002	0.981686	0.365028	0.332184	0.956947	0.23422	0.436	2	0	0	0	0	1
SLAMF6	0.940264	0.985088	0.358574	0.332126	0.956955	0.234263	0.679	3	0	0	0	0	1
DNALI1	0.92867	0.982116	0.364064	0.332049	0.956963	0.234347	1.512	8	0	0	0	0	1
IFI35	0.929479	0.982324	0.363615	0.331999	0.956971	0.23439	1.359	7	0	0	0	0	1
POLR3F	0.939225	0.984823	0.358908	0.331979	0.956979	0.23443	1.067	5	0	0	0	0	1
EXOSC2	0.936911	0.984231	0.359999	0.331968	0.956986	0.234475	1.096	6	0	0	0	0	1
CA4	0.926542	0.981568	0.364993	0.331948	0.956994	0.234559	1.149	6	0	0	0	0	1
PAQR5	0.924963	0.98116	0.365748	0.33193	0.957002	0.234601	0.705	3	0	0	0	0	1
TERF2IP	0.923096	0.980678	0.366608	0.331876	0.95701	0.23473	1.143	6	0	0	0	0	1
PAQR8	0.906218	0.976285	0.375049	0.331816	0.957018	0.234826	0.759	4	0	0	0	0	1
CDC37L1	0.941217	0.985331	0.357778	0.331807	0.957026	0.234872	0.326	1	0	0	0	0	1
WEE2	0.887506	0.971346	0.384858	0.331776	0.957033	0.234897	0.79	4	0	0	0	1	2
NSUN3	0.938587	0.98466	0.358962	0.331749	0.957041	0.234938	1.289	7	0	0	0	0	1
FAM107B	0.923714	0.980837	0.366157	0.331743	0.957049	0.23498	1.392	7	0	0	0	0	1
M6PR	0.939574	0.984912	0.358468	0.331725	0.957057	0.235063	0.763	4	0	0	0	0	1
ABHD10	0.939342	0.984852	0.358536	0.331686	0.957065	0.235106	1.061	5	0	0	0	0	1
PECR	0.936533	0.984134	0.359851	0.331665	0.957072	0.23515	1.288	7	0	0	0	0	1
PSMD8	0.925839	0.981386	0.365026	0.331665	0.95708	0.235188	0.632	3	0	0	0	0	1
ZNF334	0.881586	0.969768	0.387934	0.331658	0.957088	0.235213	1.076	6	0	0	0	1	2
MTNR1B	0.90914	0.97705	0.373281	0.331576	0.957096	0.235292	1.293	7	0	0	0	0	1
IFIT1	0.911703	0.977719	0.371945	0.331548	0.957104	0.235333	1.528	8	0	0	0	0	1
RNLS	0.932946	0.983215	0.361397	0.331505	0.957112	0.235454	1.06	5	0	0	0	0	1
SLC35F5	0.904859	0.975929	0.375309	0.331427	0.957119	0.235621	0.832	4	0	0	0	1	2
